"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari";;;
;;Onderwerpen;Bevolking naar geslacht
;;Onderwerpen;Mannen en vrouwen
Regio's;Perioden;Leeftijd;aantal
Aa en Hunze;1999;10 tot 20 jaar;2662
Aa en Hunze;1999;20 tot 30 jaar;2296
Aa en Hunze;1999;30 tot 40 jaar;3716
Aa en Hunze;1999;40 tot 50 jaar;4146
Aa en Hunze;1999;50 tot 60 jaar;3592
Aa en Hunze;1999;60 tot 70 jaar;2572
Aa en Hunze;1999;70 tot 80 jaar;1874
Aa en Hunze;1999;80 tot 90 jaar;810
Aa en Hunze;1999;90 jaar of ouder;115
Aa en Hunze;2000;Jonger dan 10 jaar;3010
Aa en Hunze;2000;10 tot 20 jaar;2677
Aa en Hunze;2000;20 tot 30 jaar;2163
Aa en Hunze;2000;30 tot 40 jaar;3664
Aa en Hunze;2000;40 tot 50 jaar;4120
Aa en Hunze;2000;50 tot 60 jaar;3717
Aa en Hunze;2000;60 tot 70 jaar;2649
Aa en Hunze;2000;70 tot 80 jaar;1877
Aa en Hunze;2000;80 tot 90 jaar;844
Aa en Hunze;2000;90 jaar of ouder;103
Aa en Hunze;2001;Jonger dan 10 jaar;3066
Aa en Hunze;2001;10 tot 20 jaar;2814
Aa en Hunze;2001;20 tot 30 jaar;2110
Aa en Hunze;2001;30 tot 40 jaar;3659
Aa en Hunze;2001;40 tot 50 jaar;4169
Aa en Hunze;2001;50 tot 60 jaar;3873
Aa en Hunze;2001;60 tot 70 jaar;2665
Aa en Hunze;2001;70 tot 80 jaar;1867
Aa en Hunze;2001;80 tot 90 jaar;866
Aa en Hunze;2001;90 jaar of ouder;119
Aa en Hunze;2002;Jonger dan 10 jaar;3122
Aa en Hunze;2002;10 tot 20 jaar;2901
Aa en Hunze;2002;20 tot 30 jaar;2085
Aa en Hunze;2002;30 tot 40 jaar;3636
Aa en Hunze;2002;40 tot 50 jaar;4238
Aa en Hunze;2002;50 tot 60 jaar;3981
Aa en Hunze;2002;60 tot 70 jaar;2677
Aa en Hunze;2002;70 tot 80 jaar;1859
Aa en Hunze;2002;80 tot 90 jaar;923
Aa en Hunze;2002;90 jaar of ouder;130
Aa en Hunze;2003;Jonger dan 10 jaar;3007
Aa en Hunze;2003;10 tot 20 jaar;2936
Aa en Hunze;2003;20 tot 30 jaar;1922
Aa en Hunze;2003;30 tot 40 jaar;3519
Aa en Hunze;2003;40 tot 50 jaar;4161
Aa en Hunze;2003;50 tot 60 jaar;4082
Aa en Hunze;2003;60 tot 70 jaar;2719
Aa en Hunze;2003;70 tot 80 jaar;1918
Aa en Hunze;2003;80 tot 90 jaar;912
Aa en Hunze;2003;90 jaar of ouder;129
Aa en Hunze;2004;Jonger dan 10 jaar;2961
Aa en Hunze;2004;10 tot 20 jaar;2940
Aa en Hunze;2004;20 tot 30 jaar;1848
Aa en Hunze;2004;30 tot 40 jaar;3364
Aa en Hunze;2004;40 tot 50 jaar;4186
Aa en Hunze;2004;50 tot 60 jaar;4114
Aa en Hunze;2004;60 tot 70 jaar;2798
Aa en Hunze;2004;70 tot 80 jaar;1944
Aa en Hunze;2004;80 tot 90 jaar;925
Aa en Hunze;2004;90 jaar of ouder;138
Aa en Hunze;2005;Jonger dan 10 jaar;2997
Aa en Hunze;2005;10 tot 20 jaar;2900
Aa en Hunze;2005;20 tot 30 jaar;1775
Aa en Hunze;2005;30 tot 40 jaar;3288
Aa en Hunze;2005;40 tot 50 jaar;4233
Aa en Hunze;2005;50 tot 60 jaar;4230
Aa en Hunze;2005;60 tot 70 jaar;2846
Aa en Hunze;2005;70 tot 80 jaar;1981
Aa en Hunze;2005;80 tot 90 jaar;945
Aa en Hunze;2005;90 jaar of ouder;134
Aa en Hunze;2006;Jonger dan 10 jaar;3014
Aa en Hunze;2006;10 tot 20 jaar;2980
Aa en Hunze;2006;20 tot 30 jaar;1712
Aa en Hunze;2006;30 tot 40 jaar;3148
Aa en Hunze;2006;40 tot 50 jaar;4236
Aa en Hunze;2006;50 tot 60 jaar;4348
Aa en Hunze;2006;60 tot 70 jaar;2988
Aa en Hunze;2006;70 tot 80 jaar;1993
Aa en Hunze;2006;80 tot 90 jaar;938
Aa en Hunze;2006;90 jaar of ouder;150
Aa en Hunze;2007;Jonger dan 10 jaar;2930
Aa en Hunze;2007;10 tot 20 jaar;3008
Aa en Hunze;2007;20 tot 30 jaar;1692
Aa en Hunze;2007;30 tot 40 jaar;3064
Aa en Hunze;2007;40 tot 50 jaar;4223
Aa en Hunze;2007;50 tot 60 jaar;4317
Aa en Hunze;2007;60 tot 70 jaar;3205
Aa en Hunze;2007;70 tot 80 jaar;2025
Aa en Hunze;2007;80 tot 90 jaar;953
Aa en Hunze;2007;90 jaar of ouder;146
Aa en Hunze;2008;Jonger dan 10 jaar;2894
Aa en Hunze;2008;10 tot 20 jaar;3059
Aa en Hunze;2008;20 tot 30 jaar;1650
Aa en Hunze;2008;30 tot 40 jaar;2900
Aa en Hunze;2008;40 tot 50 jaar;4245
Aa en Hunze;2008;50 tot 60 jaar;4277
Aa en Hunze;2008;60 tot 70 jaar;3388
Aa en Hunze;2008;70 tot 80 jaar;2043
Aa en Hunze;2008;80 tot 90 jaar;978
Aa en Hunze;2008;90 jaar of ouder;164
Aa en Hunze;2009;Jonger dan 10 jaar;2832
Aa en Hunze;2009;10 tot 20 jaar;3099
Aa en Hunze;2009;20 tot 30 jaar;1632
Aa en Hunze;2009;30 tot 40 jaar;2822
Aa en Hunze;2009;40 tot 50 jaar;4210
Aa en Hunze;2009;50 tot 60 jaar;4276
Aa en Hunze;2009;60 tot 70 jaar;3544
Aa en Hunze;2009;70 tot 80 jaar;2071
Aa en Hunze;2009;80 tot 90 jaar;1025
Aa en Hunze;2009;90 jaar of ouder;164
Aa en Hunze;2010;Jonger dan 10 jaar;2752
Aa en Hunze;2010;10 tot 20 jaar;3142
Aa en Hunze;2010;20 tot 30 jaar;1565
Aa en Hunze;2010;30 tot 40 jaar;2607
Aa en Hunze;2010;40 tot 50 jaar;4186
Aa en Hunze;2010;50 tot 60 jaar;4261
Aa en Hunze;2010;60 tot 70 jaar;3697
Aa en Hunze;2010;70 tot 80 jaar;2157
Aa en Hunze;2010;80 tot 90 jaar;1017
Aa en Hunze;2010;90 jaar of ouder;179
Aa en Hunze;2011;Jonger dan 10 jaar;2690
Aa en Hunze;2011;10 tot 20 jaar;3130
Aa en Hunze;2011;20 tot 30 jaar;1652
Aa en Hunze;2011;30 tot 40 jaar;2552
Aa en Hunze;2011;40 tot 50 jaar;4184
Aa en Hunze;2011;50 tot 60 jaar;4313
Aa en Hunze;2011;60 tot 70 jaar;3826
Aa en Hunze;2011;70 tot 80 jaar;2219
Aa en Hunze;2011;80 tot 90 jaar;1033
Aa en Hunze;2011;90 jaar of ouder;186
Aa en Hunze;2012;Jonger dan 10 jaar;2537
Aa en Hunze;2012;10 tot 20 jaar;3146
Aa en Hunze;2012;20 tot 30 jaar;1713
Aa en Hunze;2012;30 tot 40 jaar;2384
Aa en Hunze;2012;40 tot 50 jaar;4098
Aa en Hunze;2012;50 tot 60 jaar;4369
Aa en Hunze;2012;60 tot 70 jaar;3965
Aa en Hunze;2012;70 tot 80 jaar;2274
Aa en Hunze;2012;80 tot 90 jaar;1057
Aa en Hunze;2012;90 jaar of ouder;195
Aa en Hunze;2013;Jonger dan 10 jaar;2412
Aa en Hunze;2013;10 tot 20 jaar;3137
Aa en Hunze;2013;20 tot 30 jaar;1755
Aa en Hunze;2013;30 tot 40 jaar;2219
Aa en Hunze;2013;40 tot 50 jaar;4005
Aa en Hunze;2013;50 tot 60 jaar;4333
Aa en Hunze;2013;60 tot 70 jaar;4069
Aa en Hunze;2013;70 tot 80 jaar;2355
Aa en Hunze;2013;80 tot 90 jaar;1056
Aa en Hunze;2013;90 jaar of ouder;200
Aa en Hunze;2014;Jonger dan 10 jaar;2280
Aa en Hunze;2014;10 tot 20 jaar;3121
Aa en Hunze;2014;20 tot 30 jaar;1759
Aa en Hunze;2014;30 tot 40 jaar;2039
Aa en Hunze;2014;40 tot 50 jaar;3931
Aa en Hunze;2014;50 tot 60 jaar;4373
Aa en Hunze;2014;60 tot 70 jaar;4102
Aa en Hunze;2014;70 tot 80 jaar;2427
Aa en Hunze;2014;80 tot 90 jaar;1114
Aa en Hunze;2014;90 jaar of ouder;211
Aalburg;1988;Jonger dan 10 jaar;1710
Aalburg;1988;10 tot 20 jaar;1857
Aalburg;1988;20 tot 30 jaar;1660
Aalburg;1988;30 tot 40 jaar;1588
Aalburg;1988;40 tot 50 jaar;1229
Aalburg;1988;50 tot 60 jaar;914
Aalburg;1988;60 tot 70 jaar;821
Aalburg;1988;70 tot 80 jaar;537
Aalburg;1988;80 tot 90 jaar;242
Aalburg;1988;90 jaar of ouder;39
Aalburg;1989;Jonger dan 10 jaar;1726
Aalburg;1989;10 tot 20 jaar;1815
Aalburg;1989;20 tot 30 jaar;1720
Aalburg;1989;30 tot 40 jaar;1569
Aalburg;1989;40 tot 50 jaar;1275
Aalburg;1989;50 tot 60 jaar;929
Aalburg;1989;60 tot 70 jaar;838
Aalburg;1989;70 tot 80 jaar;523
Aalburg;1989;80 tot 90 jaar;258
Aalburg;1989;90 jaar of ouder;34
Aalburg;1990;Jonger dan 10 jaar;1742
Aalburg;1990;10 tot 20 jaar;1766
Aalburg;1990;20 tot 30 jaar;1792
Aalburg;1990;30 tot 40 jaar;1543
Aalburg;1990;40 tot 50 jaar;1350
Aalburg;1990;50 tot 60 jaar;981
Aalburg;1990;60 tot 70 jaar;828
Aalburg;1990;70 tot 80 jaar;511
Aalburg;1990;80 tot 90 jaar;250
Aalburg;1990;90 jaar of ouder;30
Aalburg;1991;Jonger dan 10 jaar;1736
Aalburg;1991;10 tot 20 jaar;1723
Aalburg;1991;20 tot 30 jaar;1844
Aalburg;1991;30 tot 40 jaar;1559
Aalburg;1991;40 tot 50 jaar;1387
Aalburg;1991;50 tot 60 jaar;968
Aalburg;1991;60 tot 70 jaar;850
Aalburg;1991;70 tot 80 jaar;524
Aalburg;1991;80 tot 90 jaar;261
Aalburg;1991;90 jaar of ouder;31
Aalburg;1992;Jonger dan 10 jaar;1748
Aalburg;1992;10 tot 20 jaar;1687
Aalburg;1992;20 tot 30 jaar;1881
Aalburg;1992;30 tot 40 jaar;1522
Aalburg;1992;40 tot 50 jaar;1476
Aalburg;1992;50 tot 60 jaar;970
Aalburg;1992;60 tot 70 jaar;831
Aalburg;1992;70 tot 80 jaar;555
Aalburg;1992;80 tot 90 jaar;258
Aalburg;1992;90 jaar of ouder;24
Aalburg;1993;Jonger dan 10 jaar;1761
Aalburg;1993;10 tot 20 jaar;1667
Aalburg;1993;20 tot 30 jaar;1901
Aalburg;1993;30 tot 40 jaar;1506
Aalburg;1993;40 tot 50 jaar;1521
Aalburg;1993;50 tot 60 jaar;990
Aalburg;1993;60 tot 70 jaar;831
Aalburg;1993;70 tot 80 jaar;568
Aalburg;1993;80 tot 90 jaar;265
Aalburg;1993;90 jaar of ouder;31
Aalburg;1994;Jonger dan 10 jaar;1763
